"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",0.769943799542678,0.647328184759346,1.18941800723371,0.268376663071746
"data$ydata",0.907317379534085,0.465931767397732,1.94731813329992,0.0873533671007993
